starting print thread... 
starting setpoint thread... 
starting motion capture message receive thread... 
initializing imu... 
initializing controller...
-15.0000  -0.4000  -0.1000  -0.0850  
initializing motors...
resetting encoders...
initializing state...
initializing setpoint...
initializing odometry...
attaching imu interupt...
we are running!!!...
1539103085.768,  0.000,  0.000,  0.000
1539103085.864,  0.016, -0.003, -0.002
1539103085.964,  0.019, -0.003, -0.002
1539103086.063,  0.024, -0.006,  0.000
1539103086.163,  0.025, -0.055, -0.015
1539103086.263, -0.014, -0.209, -0.019
1539103086.363, -0.047, -0.225, -0.014
1539103086.473, -0.046, -0.218, -0.017
1539103086.573, -0.019, -0.164, -0.046
1539103086.672,  0.009, -0.125, -0.067
1539103086.772,  0.030, -0.141, -0.068
1539103086.872,  0.050, -0.218, -0.041
1539103086.972,  0.034, -0.568,  0.002
1539103087.072,  0.022, -1.027,  0.031
1539103087.172,  0.025, -1.540,  0.051
1539103087.272,  0.024, -2.220,  0.048
1539103087.371,  0.015, -3.048,  0.027
1539103087.471,  0.015, -3.953, -0.000
1539103087.571,  0.011, -4.999, -0.017
1539103087.671,  0.009, -6.163, -0.019
1539103087.771,  0.009, -7.456, -0.010
1539103087.871,  0.254, -7.414,  0.043
1539103087.971,  0.460, -9.391,  0.022
1539103088.070,  0.516,-12.342,  0.036
1539103088.170,  0.489,-15.673,  0.050
1539103088.270,  0.482,-19.314, -0.007
1539103088.370,  0.495,-22.978, -0.079
1539103088.470,  0.471,-26.863, -0.149
1539103088.570,  0.476,-30.341, -0.187
1539103088.670,  0.454,-34.056, -0.272
1539103088.770,  0.461,-37.560, -0.286
1539103088.879,  0.448,-41.490, -0.219
1539103088.979,  0.473,-45.074, -0.269
1539103089.079,  0.458,-48.837, -0.318
1539103089.179,  0.473,-52.475, -0.356
1539103089.279,  0.479,-55.777, -0.409
1539103089.379,  0.507,-58.347, -0.346
1539103089.479,  0.441,-60.750, -0.378
1539103089.578,  0.166,-62.123, -0.279
1539103089.678,  0.143,-62.142, -0.149
1539103089.778, -0.005,-62.967, -0.027
1539103089.878, -0.079,-63.063,  0.021
1539103089.978, -0.177,-63.095,  0.044
1539103090.078, -0.216,-62.550,  0.014
1539103090.177, -0.243,-61.696, -0.014
1539103090.277, -0.263,-60.304, -0.014
1539103090.387, -0.305,-58.424, -0.010
1539103090.487, -0.287,-55.921,  0.000
1539103090.587, -0.329,-53.236,  0.002
1539103090.687, -0.379,-50.011,  0.007
1539103090.787, -0.518,-46.633,  0.002
1539103090.887, -0.717,-43.014, -0.002
1539103090.986, -0.824,-39.068,  0.012
1539103091.086, -1.072,-35.067,  0.034
1539103091.186, -1.665,-31.050,  0.062
1539103091.286, -1.892,-27.059,  0.075
1539103091.386, -1.859,-23.142,  0.077
1539103091.486, -1.863,-19.125,  0.091
1539103091.586, -1.868,-15.102,  0.108
1539103091.685, -1.865,-11.053,  0.128
1539103091.785, -1.863, -7.010,  0.159
1539103091.885, -1.862, -2.977,  0.178
1539103091.985, -1.864,  1.062,  0.197
1539103092.085, -1.865,  5.079,  0.217
1539103092.185, -1.866,  9.102,  0.231
1539103092.294, -1.867, 13.513,  0.246
1539103092.394, -1.868, 17.517,  0.260

received SIGINT Ctrl-C
Motor cleanup
