starting print thread... 
starting setpoint thread... 
starting motion capture message receive thread... 
initializing imu... 
initializing controller...
-15.0000  -0.4000  -0.1000  -0.0850  
initializing motors...
resetting encoders...
initializing state...
initializing setpoint...
initializing odometry...
attaching imu interupt...
we are running!!!...
1539103236.488,  0.000,  0.000,  0.000
1539103236.583,  0.011, -0.003,  0.002
1539103236.683,  0.005, -0.003,  0.002
1539103236.792,  0.004, -0.003,  0.002
1539103236.892,  0.005, -0.003,  0.002
1539103236.992,  0.007, -0.003,  0.002
1539103237.092,  0.006, -0.003,  0.002
1539103237.192,  0.003, -0.003,  0.002
1539103237.292, -0.001, -0.003,  0.002
1539103237.391, -0.005, -0.003,  0.002
1539103237.491, -0.010, -0.003,  0.002
1539103237.591, -0.016, -0.003,  0.002
1539103237.691, -0.021, -0.003,  0.002
1539103237.791, -0.025, -0.003,  0.002
1539103237.891, -0.026,  0.016, -0.005
1539103237.990, -0.003,  0.170, -0.033
1539103238.090,  0.034,  0.225, -0.041
1539103238.190,  0.048,  0.218, -0.038
1539103238.290,  0.042,  0.058, -0.024
1539103238.390,  0.011, -0.209, -0.012
1539103238.490, -0.001, -0.292, -0.029
1539103238.590, -0.157, -1.242, -0.029
1539103238.690, -0.063, -0.026,  0.003
1539103238.789, -0.045,  0.087,  0.012
1539103238.889,  0.082,  0.683,  0.005
1539103238.989,  0.164,  0.728, -0.005
1539103239.089,  0.232,  0.350, -0.015
1539103239.189,  0.248, -0.693, -0.007
1539103239.299,  0.259, -2.634,  0.015
1539103239.399,  0.318, -4.812,  0.031
1539103239.498,  0.375, -7.745,  0.021
1539103239.598,  0.512,-11.027,  0.029
1539103239.698,  0.488,-14.957,  0.021
1539103239.798,  0.472,-18.441, -0.027
1539103239.898,  0.474,-22.224, -0.128
1539103239.998,  0.459,-26.039, -0.236
1539103240.098,  0.444,-29.892, -0.317
1539103240.197,  0.474,-33.444, -0.400
1539103240.297,  0.439,-37.066, -0.388
1539103240.397,  0.471,-40.059, -0.363
1539103240.497,  0.464,-43.168, -0.310
1539103240.597,  0.476,-46.672, -0.293
1539103240.697,  0.478,-49.906, -0.248
1539103240.797,  0.497,-53.614, -0.330
1539103240.896,  0.465,-57.477, -0.347
1539103240.996,  0.479,-60.374, -0.236
1539103241.106,  0.515,-64.327, -0.294
1539103241.206,  0.497,-67.952, -0.298
1539103241.306,  0.530,-71.366, -0.294
1539103241.406,  0.523,-74.776, -0.289
1539103241.506,  0.541,-78.325, -0.344
1539103241.605,  0.553,-81.912, -0.406
1539103241.705,  0.650,-85.682, -0.424
1539103241.805,  0.837,-89.660, -0.390
1539103241.905,  1.096,-93.635, -0.385
1539103242.005,  1.415,-97.671, -0.361
1539103242.105,  1.800,-101.733, -0.334
1539103242.205,  1.784,-105.714, -0.291
1539103242.305,  1.781,-109.779, -0.269
1539103242.404,  1.778,-113.867, -0.255
1539103242.504,  1.773,-117.977, -0.246
1539103242.604,  1.768,-122.096, -0.240
1539103242.704,  1.764,-126.219, -0.234
1539103242.804,  1.760,-130.332, -0.234
1539103242.904,  1.755,-134.461, -0.226
1539103243.013,  1.751,-138.991, -0.219
1539103243.113,  1.747,-143.095, -0.217
1539103243.213,  1.743,-147.227, -0.217

received SIGINT Ctrl-C
Motor cleanup
